Sr No.,Original Instruction,Translated Instruction,Baseline Completion,Intervention Completion,Translated Completion (Final Output)
Query 10,'کیا آپ کلاسک براؤنیز کے لئے ایک نسخہ فراہم کرسکتے ہیں؟','Can you provide a recipe for classic brownies?',"'\n\nکیا آپ کلاسک براؤنیز کے لئے ایک نسخہ فراہم کرسکتے ہیں؟\n\nکیا آپ کلاسک براؤنیز کے لئے ایک نسخہ
فراہم کرسکتے ہیں؟\n\nکیا آپ کلاسک براؤنیز کے لئے ایک نسخہ فرا'","'\n\nI have a 2008 Honda Civic 1.3L 1300cc, I want to install a 1.6L engine in it, what will be the
changes in the car?\n\nI have a 2008 Honda Civic 1.3L 1'",میرے پاس ایک 2008 Honda Civic 1.3 لیلیس 1300cc ہے ، میں اس میں 1.6 لیلیس انجن نصب کرنا چاہتا ہوں اس میں کیا تبدیلی ہوگی ؟ میرے پاس ایک 2008 Honda Civic 1.3 لیلیس ایک ہے ۔
Query 11,'انسانی جسم میں ویکسین کیسے کام کرتی ہے؟','How do vaccines work in the human body?',"' ویکسین کیسے کام کرتی ہے؟ ویکسین کیسے کام کرتی ہے؟ ویکسین کیسے کام کرتی ہے؟ ویکسین کیسے کام کرتی
ہے؟ ویکسین کیسے کام کرتی ہے؟ ویکسین کیسے کام کرتی'","""\n\n<h2>vaccine's Usage Examples:</h2>\n\nThe <b>vaccine</b> is a live attenuated strain of the
bacterium, which is given by injection.\n\nThe <b>vaccine</b> is a live attenuated strain of the
bacterium, which is given by injection.\n\nThe <b>vaccine</b> is a live attenuated strain of the""",ویکسین کے استعمال کے مثالیں : &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &; &;
Query 12,'چین کی عظیم دیوار کے پیچھے کیا تاریخ ہے؟',"""What's the history behind the Great Wall of China?""","' چین کی عظیم دیوار کے پیچھے کیا تاریخ ہے؟ چین کی عظیم دیوار کے پیچھے کیا تاریخ ہے؟ چین کی عظیم
دیوار کے پیچھے کیا تاریخ ہے؟ چین کی عظیم دیوار کے پیچھے کیا تاریخ ہے؟ چین کی عظیم دیوار کے پیچھے کیا
تاریخ ہے؟ چین کی عظیم'","'\n\n[User 0001]\n\n<b>چین کی عظیم دیوار کے پیچھے کیا تاریخ ہے؟</b>\n\n<b>\n</b>\n<b>\n</b>\n<b>\n</
b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر کے پیچھے کیا تاریخ ہے ؟
Query 13,'گھر میں میں کیا کرسکتا ہوں ایک تفریحی سائنس کا تجربہ کیا ہے؟',"""What's a fun science experiment I can do at home?""","' یہ ایک تفریحی سائنس کا تجربہ ہے جس میں آپ کو اپنے گھر میں ایک سائنس کی کوشش کرنے کی اجازت دی جاتی
ہے۔ یہ ایک تفریحی سائنس کا تجربہ ہے جس میں آپ کو اپنے گھر میں ایک سائنس کی'","'\n\n[User 0001]\n\nI have a question that I am not able to understand.\n\nI have read that in a
house there are 1000000000000000000000000000000'",ایک سوال ہے جو میں سمجھ نہیں سکتا ۔ میں نے پڑھا ہے کہ ایک گھر میں صد000000000000000000000000 ہیں ۔
Query 14,'انسانی میموری کیسے کام کرتی ہے؟','How does human memory work?',"'\n\nانسانی میموری کیسے کام کرتی ہے؟\n\nانسانی میموری کیسے کام کرتی ہے؟\n\nانسانی میموری کیسے کام
کرتی ہے؟\n\nانسانی میموری کیسے کام کرتی ہے؟\n\nانسانی میموری کیس'","'\n\n[User 0001]\n\n<b>What is the use of human memory?</b>\n\n<b>What is the use of human
memory?</b>\n\n<b>What is the use of human memory?</b>\n\n<b>What is the use of human
memory?</b>\n\n<b>What is the use of human memory?</b>'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر یوزر ؍ یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر
Query 15,'کیا آپ عوامی بولنے کی مہارت کو بہتر بنانے کے لئے کچھ طریقے تجویز کرسکتے ہیں؟','Can you suggest some ways to improve public speaking skills?',"'\n\nکیا آپ عوامی بولنے کی مہارت کو بہتر بنانے کے لئے کچھ طریقے تجویز کرسکتے ہیں؟\n\nکیا آپ عوامی
بولنے کی مہارت کو بہتر بنانے کے لئے کچھ طریقے تجویز کرسکتے'","'\n\n<h2>How to use the word ""public speaking"" in a sentence</h2>\n\n\nI am not a public speaker but
I have been trying to improve my public speaking skills by attending different workshops and
seminars.\n\nI have been working on my public speaking skills for the past few months and I am now
able to give presentations with'",ایک sentence میںpublic speaking کا لفظ استعمال کرنا ۔ میں ایک عام آدمی نہیں ہوں لیکن میں مختلف ورکشاپ اور سیمیناروں میں شرکت کرکے اپنی عوامی تقریر کی صلاحیت کو بہتر بنانے کی کوشش کر رہا ہوں ۔ گزشتہ کچھ مہینوں سے اب تک میں اپنی عوامی تقریر کی صلاحیت کو بہتر بنانے کے لئے کام کر رہا ہوں اور اب میں مختلف زبانوں میں تقریر کر سکتا ہوں ۔
Query 16,'سائبرسیکیوریٹی کے کچھ عام خطرات کیا ہیں؟','What are some common cybersecurity threats?',"'\n\nسائبر سیکیوریٹی کے کچھ عام خطرات کیا ہیں؟\n\nسائبر سیکیوریٹی کے کچھ عام خطرات کیا ہیں؟\n\nسائبر
سیکیوریٹی کے کچھ عام خطرات کیا ہیں؟\n\nسائبر سیکیوریٹی کے کچھ عام خط'","'\n\n1. <strong>Data Breaches</strong>\n\n  Data Breaches are the most common cyber security threats
that can be faced by any organization. These are the most common cyber security threats that can be
faced by any organization. These are the most common cyber security threats that can be faced by any
organization. These are the'",اعداد و شمار کی روک تھام : اعداد و شمار کی روک تھام کی روک تھام : یہ بہت ہی عام سائبر سلامتی خطرات ہیں جو کسی بھی ادارے کو سامنا کرسکتے ہیں ۔ یہ بہت ہی عام سائبر سلامتی خطرات ہیں جو کسی بھی ادارے کو سامنا کرسکتے ہیں ۔
Query 17,'کیا آپ طلباء کے لئے ایک محرک حوالہ تیار کرسکتے ہیں؟','Can you generate a motivational quote for students?',"'\n\n[User 0001]\n\nکیا آپ طلباء کے لئے ایک محرک حوالہ تیار کرسکتے ہیں؟\n\n[User 0002]\n\nبہت سے
طلباء کو محرک حوالہ کی ضرورت ہوتی ہے، لیکن آپ کو'","'\n\n[User 0001]\n\nI am a student of 12th class and I want to prepare a motivational speech for my
school. I want to know how can I prepare a good speech for my school.\n \n\n[User 0002]\n\nYou can
prepare a speech'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر یوزر
Query 18,'اسٹاک میں سرمایہ کاری کے لئے ابتدائی رہنما کیا ہے؟',"""What's a beginner's guide to investing in stocks?""","' اسٹاک میں سرمایہ کاری کے لئے ابتدائی رہنما کیا ہے؟ اسٹاک میں سرمایہ کاری کے لئے ابتدائی رہنما کیا
ہے؟ اسٹاک میں سرمایہ کاری کے لئے ابتدائی رہنما کیا ہے؟ اسٹاک میں سرمایہ کاری کے لئے ابتدائی رہ'","'\n\n[User 0001]\n\nI am a beginner in stock market and I want to know how to start with it.\n
\n\n[User 0002]\n\nYou should start with a small amount of money and then you can learn about the
market.\n \n\n[User '",اس کا آغاز کیسے کرنا چاہئے ؟ اس کا آغاز کیسے کرنا چاہئے ؟ اس کا آغاز کیسے کرنا چاہئے ؟ اس کا آغاز تھوڑی سی رقم سے کرنا چاہئے اس سے آپ مارکیٹ کے بارے میں سیکھ سکتے ہیں ۔
Query 19,'بلیک ہول کیسے بنتے ہیں؟','How do black holes form?',"'\n\nبلیک ہول کیسے بنتے ہیں؟\n\nبلیک ہول کیسے بنتے ہیں؟\n\nبلیک ہول کیسے بنتے ہیں؟\n\nبلیک ہول کیسے
بنتے ہیں؟\n\nبلیک ہول کیسے بنتے ہیں؟\n\nبلیک ہ'","'\n\n[User 0001]\n\nI have a question about the black holes.\nI have read that they are formed when
a star is very heavy and its gravity is so strong that it can not be held by the gravity of the
earth.\nbut the question is that if the star is very heavy'",سوال یہ ہے کہ اگر ستارہ بہت ہی بھاری ہوتا ہے اور اس کی کشش اتنی مضبوط ہوتی ہے کہ اس کو زمین کی کشش سے نہیں پکڑا جا سکتا ، تو کیا سوال ہے کہ اگر ستارہ بہت ہی بھاری ہوتا ہے تو وہ کیسے تشکیل ہوتا ہے ؟
Query 20,'پودوں میں فوٹو سنتھیس کس طرح کام کرتی ہے؟','How does photosynthesis work in plants?',"' پودوں میں فوٹو سنتھیس کس طرح کام کرتی ہے؟ پودوں میں فوٹو سنتھیس کس طرح کام کرتی ہے؟ پودوں میں فوٹو
سنتھیس کس طرح کام کرتی ہے؟ پودوں میں فوٹو سنتھ'","'\n\n[User 0001]\n\nI have a question about the use of photo synthesis in plants.\nI have read that
in the process of photosynthesis, the carbon dioxide is converted into glucose by the help of light
energy.\nBut in the process of photosynthesis, the carbon dioxide is converted into glucose by'",plantوں میں فوٹو سٹیپیز کے استعمال کے بارے میں میرا ایک سوال ہے ۔ میں نے پڑھا ہے کہ فوٹو سٹیپیز کے عمل میں ، کاربنdioxidے کو روشنی کی مدد سے glucoس میں تبدیل کیا جاتا ہے ، لیکن فوٹو سٹیپیز کے عمل میں کاربنdioxidے کو glucoس میں تبدیل کیا جاتا ہے ۔
Query 21,'مدافعتی نظام جسم کی حفاظت کیسے کرتا ہے؟','How does the immune system protect the body?',"'\n\n[User 0001]\n\nمدافعتی نظام جسم کیسے کرتا ہے؟\n\n[User 0002]\n\nمدافعتی نظام جسم کیسے کرتا
ہے؟\n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n '","'\n\n[User 0001]\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n
<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 22,'اچھے کاروباری منصوبے کے کلیدی عنصر کیا ہیں؟','What are the key elements of a good business plan?',"'\n\nاچھے کاروباری منصوبے کی بنیاد پر کیا کام کیا جاتا ہے؟\n\nاچھے کاروباری منصوبے کی بنیاد پر کیا
کام کیا جاتا ہے؟\n\nاچھے کاروباری منصوبے کی بنیاد پر کیا کام کیا جاتا'","'\n\n[User 0001]\n\nI am a student of economics and I am doing my research on the key elements of a
good job. I want to know the key elements of a good job.\n \n\n[User 0002]\n\nI think you should ask
this question in the'",میں ایک طالب علم ہوں اور میں اچھی ملازمت کے اہم عناصر کے بارے میں اپنی تحقیق کر رہا ہوں ۔ میں اچھی ملازمت کے اہم عناصر کو جاننا چاہتا ہوں ۔
Query 23,'تاریخ کی قدیم ترین تہذیبوں میں سے کچھ کیا ہیں؟','What are some of the oldest civilizations in history?',"' تاریخ کی قدیم ترین تہذیبوں میں سے کچھ کیا ہیں؟ تاریخ کی قدیم ترین تہذیبوں میں سے کچھ کیا ہیں؟
تاریخ کی قدیم ترین تہذیبوں میں سے کچھ کیا ہیں؟ تاریخ کی قدیم ترین تہذیبو'","'\n\n[User 0001]\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n
<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 24,'کیا آپ بیان کرسکتے ہیں کہ سرچ انجن کیسے کام کرتے ہیں؟','Can you describe how search engines work?',"' آپ کو یہ بتانا چاہیے کہ سرچ انجن آپ کی ویب سائٹ پر آپ کی ویب سائٹ پر آپ کی ویب سائٹ پر آپ کی ویب
سائٹ پر آپ کی ویب سائٹ پر آپ کی ویب سائٹ پر آپ کی'","'\n\nThe search engine is a computer program that is used to search for information on the internet.
It is used to find the information that is related to the search query. The search engine works on
the basis of the keywords that are used in the search query. The search engine finds the information
that is related to the search'",گوگل ایک کمپیوٹر کا پروگرام ہے جس کا استعمال انٹرنیٹ پر معلومات کی تلاش کے لئے کیا جاتا ہے ۔ گوگل ان معلومات کو تلاش کرنے کے لئے استعمال کرتا ہے جو گوگل کی تلاش سے متعلق ہے ۔
Query 25,'جدید معاشرے میں جمہوریت کی کیا اہمیت ہے؟',"""What's the significance of democracy in modern society?""","'\n\n[User 0001]\n\n<b>جدید معاشرے میں جمہوریت کی کیا اہمیت
ہے؟</b>\n\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n'","'\n\n[User 0001]\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n
<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 26,'الیکٹرک کاریں کیسے کام کرتی ہیں؟','How do electric cars work?',"'\n\nالیکٹرک کاریں ایک ایسی چیز ہے جو کہ ایک ایسی چیز ہے جو کہ ایک ایسی چیز ہے جو کہ ایک ایسی چیز ہے
جو کہ ایک ایسی چیز ہے جو کہ ایک ایسی چیز ہے جو کہ ایک ایسی چیز ہے جو کہ ایک ایسی چیز ہے جو کہ ایک'","'\n\nThe electric current is the flow of electric charges. The electric current is measured in units
of amperes (A) which is the same as the unit of charge per unit time. The SI unit of electric
current is ampere.\n\nThe electric current is the flow of electric charges. The electric current is
measured in units of'",الیکٹرانک کنکشن الیکٹرانک چارج کا ہے ۔ الیکٹرانک کنکشن الیکٹرانک چارج کی یونٹوں ( اے ) کی پیمائش کرتا ہے ، جو فی یونٹ بجلی کی کنکشن کی برابر ہے ۔
Query 27,'آج کل سب سے عام پروگرامنگ زبانیں کون سی ہیں؟','What are the most common programming languages used today?',"'\n\n[User 0001]\n\nآج کل سب سے عام پروگرامنگ زبانیں کون سی ہیں؟\n \n\n[User 0002]\n\nاس سوال کا
جواب آپ کے پاس ہے\n \n\n[User 0003]\n\nاس سوال کا'","'\n\n[User 0001]\n\nI am a beginner in programming and I want to know which programming language is
most common and used in the world.\n \n\n[User 0002]\n\nI think you should start with python\n
\n\n[User 0003]\n\n'",میں ایک شروع کرنے والا ہوں اور مجھے یہ جاننا چاہتا ہوں کہ دنیا میں کون سی زبان زیادہ عام اور استعمال کی جاتی ہے ۔
Query 28,'کیا آپ مجھے مؤثر طریقے سے مطالعہ کرنے کے لئے کچھ نکات دے سکتے ہیں؟','Can you give me some tips for studying effectively?',"'\n\nکیا آپ مجھے مؤثر طریقے سے مطالعہ کرنے کے لئے کچھ نکات دے سکتے ہیں؟\n\nکیا آپ مجھے مؤثر طریقے سے
مطالعہ کرنے کے لئے کچھ نکات دے سکتے ہیں؟\n\nکیا آپ مجھے مؤثر طریقے'","'\n\nI have been reading your blog for a long time now and finally got the courage to go ahead and
give you a shout out from Kingwood tx.\n\nI am just writing to make you know that I am new to
blogging and definitely enjoyed your blog.\nmoreover, the posts are very nice and you are'",میں آپ کے بلاگوں کو طویل عرصے سے پڑھ رہا ہوں اور finally اس بات کو کرنے کی کوشش کر رہا ہوں کہ آپ کو کرن واٹر ٹس سےhoutout دیا گیا ہے ۔ میں صرف یہ لکھ رہا ہوں آپ کو یہ جاننے کے لئے کہ میں بلاگنگ میں نیا ہوں اور آپ نے آپ کا بلاگ بہت پسند کیا ہے ۔
Query 29,'شمسی گرہن کے پیچھے سائنس کیا ہے؟',"""What's the science behind solar eclipses?""","'\n\n[User 0001]\n\n<b>شمسی گرہن کے پیچھے سائنس کیا ہے؟</b>\n\n<b>شمسی گرہن کے پیچھے سائنس کیا
ہے؟</b>\n\n<b>شمسی گرہن کے پیچھے سائنس کیا ہے؟</b>\n\n<b>شمسی'","'\n\n[User 0001]\n\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n
<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر نمبر :....
Query 30,'ورچوئل رئیلٹی دنیا کو کس طرح بدل رہی ہے؟','How is virtual reality changing the world?',"'\n\n[User 0001]\n\n<b>ورچوئل رئیلٹی دنیا کو کس طرح بدل رہی ہے؟</b>\n\n<b>ورچوئل رئیلٹی دنیا کو کس
طرح بدل رہی ہے؟</b>\n\n<b>ورچوئل رئیلٹی دنیا کو کس'","'\n\n[User 0001]\n\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>
\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n</b>\n<b>\n'",یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر ؍ یوزر
Query 31,'اچھے گرافک ڈیزائن کی بنیادی باتیں کیا ہیں؟','What are the basics of good graphic design?',"'\n\nاچھے گرافک ڈیزائن کی بنیادی باتیں کیا ہیں؟\n\nاچھے گرافک ڈیزائن کی بنیادی باتیں کیا
ہیں؟\n\nاچھے گرافک ڈیزائن کی بنیادی باتیں کیا ہیں؟\n\nاچھے گرافک ڈیزائن'","'\n\nاچھے گرافک ڈیزائن Are the basic things of good graphic designing\n\nWhat are the basic things
of good graphic designing\n\nWhat are the basic things of good graphic designing\n\nWhat are the
basic things of good graphic designing\n\nWhat are the basic things of good graphic
designing\n\nWhat are the basic things'",اچھے گرافک ڈیزائن کی بنیادی باتیں کیا ہیں ؟ اچھی گرافک ڈیزائن کی بنیادی باتیں کیا ہیں ؟ اچھی گرافک ڈیزائن کی بنیادی باتیں کیا ہیں ؟ اچھی گرافک ڈیزائن کی بنیادی باتیں کیا ہیں ؟ اچھی گرافک ڈیزائن کی بنیادی باتیں کیا ہیں ؟
