Sr No.,Original Instruction,Translated Instruction,Baseline Completion,Intervention Completion,Translated Completion (Final Output)
Query 12,'چین کی عظیم دیوار کے پیچھے کیا تاریخ ہے؟',"""What's the history behind the Great Wall of China?""","' (پہلا حصہ)\nچین کی عظیم دیوار کے پیچھے کیا تاریخ ہے؟ (پہلا حصہ)\nچین کی عظیم دیوار کے پیچھے کیا
تاریخ ہ�'","' (Part 1)\nThe Great Wall of China is one of the most famous landmarks in the world. It is a symbol
of China’s strength and power. But what is the history behind this great wall? In this article, we
will explore the history of the Great Wall of China and its significance in Chinese culture.\n'",( حصہ ) چین کی عظیم بادل دنیا کی سب سے مشہور علامتوں میں سے ایک ہے ۔ یہ چین کی طاقت اور اقتدار کی علامت ہے ۔ لیکن اس عظیم بادل کی تاریخ کیا ہے ؟ اس مضمون میں ہم چین کی عظیم بادل کی تاریخ پر غور کریں گے اور اس کی اہمیت چین کے ثقافتی نظام میں کیا ہے ؟
Query 13,'گھر میں میں کیا کرسکتا ہوں ایک تفریحی سائنس کا تجربہ کیا ہے؟',"""What's a fun science experiment I can do at home?""","' - ہوم سائنس کے تجربات\nHome Science Experiments for Kids\nHome Science Experiments for Kids\nHome
Science Experiments for Kids\nHome Science Experiments for Kids\nHome Science Experiments for
Kids\nHome Science Experiments for Kids\nHome Science Experiments for Kids\n'","' What can I do in my home? A fun science experiment\nI have a question for you. What can I do in my
home? A fun science experiment\nI have a question for you. What can I do in my home? A fun science
experiment\nI have a question for you. What can I do'",میرے گھر میں کیا کر سکتا ہوں ؟ میرے گھر میں کیا کر سکتا ہوں ؟ میرے گھر میں کیا کر سکتا ہوں ؟ میرے گھر میں کیا کر سکتا ہوں ؟ میرے گھر میں کیا کر سکتا ہوں ؟ میرے گھر میں کیا کر سکتا ہوں ؟ میرے گھر میں کیا کر سکتا ہوں ؟
Query 14,'انسانی میموری کیسے کام کرتی ہے؟','How does human memory work?',"' اور اس میموری کے بارے میں کیا کیا کہا جاتا ہے؟\nHuman memory is a complex system that allows us to
store, retrieve, and use information over time. It is a fundamental aspect of our cognitive
abilities and plays a'","' What is human memory?\nWhat is human memory?\nHuman memory is the ability to store and retrieve
information. It is a complex process that involves many different brain structures and processes.
Memory is important for learning, problem solving, and decision making. There are several types of
memory, including short-term memory, long-term memory,'",انسانی میموریل کیا ہے ؟ کیا انسانی میموریل ہے ؟ انسانی میموریل معلومات کی ذخیرہ و ذخیرہ کرنے اور انہیں دوبارہ ذخیرہ کرنے کا کام کرتا ہے ۔ یہ ایک پیچیدہ عمل ہے ، جس میں کئی مختلف دماغی ڈھانچے اور عمل شامل ہیں ۔ میموریل سیکھنے ، مسائل حل کرنے اور فیصلے کرنے کے لئے اہم ہے ۔ میموریل کے متعدد قسمیں ہیں ، جن میں مختصر مدتی میموریل ، طویل مدتی میموریل ،
Query 15,'کیا آپ عوامی بولنے کی مہارت کو بہتر بنانے کے لئے کچھ طریقے تجویز کرسکتے ہیں؟','Can you suggest some ways to improve public speaking skills?',"' کیا آپ کو یہ معلوم ہے کہ عوامی بولنے کے لئے کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا
کیا کیا کیا کیا'","' I want to improve my public speaking skills. What are some ways to do that?\nWhat are some ways to
improve public speaking skills?\nWhat are some ways to improve public speaking skills?\nWhat are
some ways to improve public speaking skills?\nWhat are some ways to improve public speaking
skills?\nWhat are some ways to improve public'",میں اپنی پبلک بولی کی صلاحیت کو بہتر کرنا چاہتا ہوں ۔ اس کے کچھ طریقے ہیں ؟ پبلک بولی کی صلاحیت کو بہتر کرنے کے کچھ طریقے ہیں ؟ پبلک بولی کی صلاحیت کو بہتر کرنے کے چند طریقوں ہیں ؟ پبلک بولی کی صلاحیت کو بہتر کرنے کے چند طریقوں ہیں ؟
Query 16,'سائبرسیکیوریٹی کے کچھ عام خطرات کیا ہیں؟','What are some common cybersecurity threats?',"' - Cybersecurity Threats\nCybersecurity Threats\nCybersecurity Threats\nCybersecurity
Threats\nCybersecurity Threats\nCybersecurity Threats\nCybersecurity Threats\nCybersecurity
Threats\nCybersecurity Threats\nCybersecurity Threats\nCybersecurity Threat'","' What are some common cyber security risks?\nCyber security is a term that is used to describe the
protection of computer systems, networks, and data from unauthorized access or attacks. It is a
critical aspect of modern life, as more and more of our personal and professional information is
stored and transmitted electronically. However, cyber security'",کچھ عام سائبر سلامتی خطرات کیا ہیں ؟ سائبر سلامتی ایک لفظ ہے جس کا استعمال کمپیوٹر نظاموں ، نیٹ ورکوں اور ڈیٹا کے تحفظ کے لئے کیا جاتا ہے ، جسے ناحق رسائی یا حملوں سے بچایا جاتا ہے ۔ یہ جدید زندگی کا ایک اہم پہلو ہے کیونکہ ہماری ذاتی اور پیشہ ور معلومات الیکٹرانک کے ذریعے محفوظ اور منتقل ہوتی ہے ۔ لیکن سائبر سلامتی ان خطرات کو کم کرتا ہے جو سائبر
Query 17,'کیا آپ طلباء کے لئے ایک محرک حوالہ تیار کرسکتے ہیں؟','Can you generate a motivational quote for students?',' ہم نے ایک ایسا حوالہ تیار کیا ہے جس کے ذریعہ طلباء کو اپنے آپ کو بہتر بنانے کے لئے ایک اچھ',"' I am a student and I need a motivation source for my life. I am a student and I need a motivation
source for my life. I am a student and I need a motivation source for my life. I am a student and I
need a motivation source for my life. I am a student and I need a'",مجھے اپنی زندگی کے لیے ایک ترغیب وسیلہ کی ضرورت ہے ۔ مجھے ایک طالب علم کی ضرورت ہے ۔ مجھے اپنی زندگی کے لیے ایک ترغیب وسیلہ کی ضرورت ہے ۔ مجھے ایک طالب علم کی ضرورت ہے ۔ مجھے ایک طالب علم کی ضرورت ہے ۔
Query 18,'اسٹاک میں سرمایہ کاری کے لئے ابتدائی رہنما کیا ہے؟',"""What's a beginner's guide to investing in stocks?""","' اسٹاک مارکیٹ میں سرمایہ کاری کے لئے ابتدائی رہنما کیا ہے؟ اسٹاک مارکیٹ میں سرمایہ کاری کے لئے
ابتدائی رہنما'","' What is a stock market guide for investment?\nThe stock market is a place where people can buy and
sell shares of companies. The stock market is also called the stock exchange. The stock market is a
place where people can buy and sell shares of companies. The stock market is also called the stock
exchange. The stock market'",سرمایہ کاری کے لئے اسٹاک مارکیٹ گائیڈ کیا ہے ؟ اسٹاک مارکیٹ ایک ایسا مقام ہے جہاں لوگ کمپنیوں کے حصص خریدیں اور فروخت کرسکیں ۔ اسٹاک مارکیٹ کو بھی اسٹاک ایکسچینج کہا جاتا ہے ۔ اسٹاک مارکیٹ ایک ایسا مقام ہے جہاں لوگ کمپنیوں کے حصص خریدیں اور فروخت کرسکیں ۔ اسٹاک مارکیٹ کو بھی اسٹاک ایکسچینج کہا جاتا ہے ۔
Query 19,'بلیک ہول کیسے بنتے ہیں؟','How do black holes form?',' بلیک ہول کیسے بنتے ہیں؟\nبلیک ہول کیسے بنتے ہیں؟ بلیک ہول کیسے بنتے ہی',"' What is a Black Hole?\nBlack holes are the most mysterious objects in the universe. They are so
dense that not even light can escape their gravitational pull. But what exactly is a black hole? In
this article, we will explore the definition of a black hole, its properties, and its importance in
astrophysics.\n'",کیا ہے ایک Black Hole ؟ کائنات میں وہ سب سے مخفی چیزیں ہیں ۔ وہ ایسی گہرے ہیں کہ ان کی gravitational کشش سے نور کو بھی کوئی بچ نہیں سکتا ۔ لیکن ایک black hole کیا ہے ؟ اس مضمون میں ہم ایک black hole کی وضاحت کریں گے ، اس کی خصوصیات اور اس کی ایسٹرو فزکس میں اہمیت پر غور کریں گے ۔
Query 20,'پودوں میں فوٹو سنتھیس کس طرح کام کرتی ہے؟','How does photosynthesis work in plants?',"' - What is the process of photo synthesis in plants?\nپودوں میں فوٹو سنتھیس کس طرح کام کرتی ہے؟ -
What is the process of photo synthesis in plants?\nپودوں میں فوٹو سنتھیس کس'","' (How does photo synthesis work in plants?)\nپودوں میں فوٹو سنتھیس کس طرح کام کرتی ہے؟ (How does
photo synthesis work in plants?)\nپودوں میں فوٹو سنتھیس کس طرح کام کرتی'",پودوں میں فوٹو سنتھیس کس طرح کام کرتی ہے ؟ پودوں میں فوٹو سنتھیس کس طرح کام کرتی ہے ؟
Query 21,'مدافعتی نظام جسم کی حفاظت کیسے کرتا ہے؟','How does the immune system protect the body?',"' (پہلا حصہ)\nمدافعتی نظام جسم کی حفاظت کیسے کرتا ہے؟ (پہلا حصہ)\nمدافعتی نظام جسم کی حفاظت کیسے
کرتا ہے؟'","' (How does the body’s immune system protect itself?)\nThe immune system is a network of cells,
tissues, and organs that work together to protect the body from foreign invaders, such as bacteria,
viruses, and fungi. The immune system is a complex network of cells, tissues, and organs that work
together to protect the'",( بدن کا دفاعی نظام اپنے آپ کو کیسے تحفظ فراہم کرتا ہے ؟ ) بدن کا دفاعی نظام ایک ایسا نیٹ ورک ہے جو غیر ملکی قوتوں مثلاً وائرس اور وائرس سے بدن کی حفاظت کرنے کے لئے باہم مل کر کام کرتا ہے ۔ بدن کا دفاعی نظام ایک بہت بڑا نیٹ ورک ہے جس میں cell ، اعضاء اور اعضاء ایک ساتھ کام کرتے ہیں ۔
Query 22,'اچھے کاروباری منصوبے کے کلیدی عنصر کیا ہیں؟','What are the key elements of a good business plan?',' اور ان کے بارے میں کیا کیا کرنا ہے؟\nبہت سے کاروباری منصوبے بنانے والے لوگ ان کے بارے میں سوچتے ',"' (What are the key elements of a good business plan?)\nA business plan is a document that outlines
the goals and strategies of a business. It is a roadmap that helps the business owner to achieve
their goals and objectives. A good business plan should include the following key elements:\n1.
Executive summary: The executive summary is'",( اچھی کاروباری منصوبہ کے اہم عناصر کیا ہیں ؟ ۔ ایک اچھی کاروباری منصوبہ ایک دستاویز ہے جو ایک کاروبار کے اہداف اور حکمت عملی کو ظاہر کرتا ہے ۔ یہ ایک روڈ میپ ہے جو کاروباری مالکان کو اپنے اہداف اور مقاصد کو حاصل کرنے میں مدد کرتا ہے ۔ اچھی کاروباری منصوبہ میں درج ذیل اہم عناصر شامل ہوتے ہیں ۔
Query 23,'تاریخ کی قدیم ترین تہذیبوں میں سے کچھ کیا ہیں؟','What are some of the oldest civilizations in history?','\nتاریخ کی قدیم ترین تہذیبوں میں سے کچھ کیا ہیں؟\nتاریخ کی قدیم ترین تہذیبوں میں سے کچھ کیا ہیں',"' What are some of the oldest civilizations in history?\nThe oldest civilizations in history are the
Sumerians, Egyptians, and Indus Valley Civilization. The Sumerians were the first civilization to
develop writing and agriculture. The Egyptians were the first civilization to develop a complex
society and a written language. The Indus Valley Civilization'",تاریخ میں سب سے پرانی تہذیبیں کیا ہیں ؟ تاریخ میں سب سے پرانی تہذیبیں Sumیرین ، مصری اور انڈس فیلڈ کی ہیں ۔
Query 24,'کیا آپ بیان کرسکتے ہیں کہ سرچ انجن کیسے کام کرتے ہیں؟','Can you describe how search engines work?',' آپ کے پاس ایک سے زیادہ سے زیادہ کئی سے کئی سے کئی سے کئی سے کئی سے کئی سے کئی سے کئی',"' What is a search engine? How do search engines work?\nSearch engines are the most popular and
widely used tools on the internet. They are used by billions of people every day to find
information, products, and services. But how do search engines work? In this article, we will
explore the inner workings of search engines'",ایک سرچ انجن کیا ہے ؟ کیسے کام کرتا ہے ؟ سرچ انجن سب سے زیادہ مقبول اور استعمال شدہ ٹولز ہیں ، جنہیں ہر روز اربوں افراد معلومات ، مصنوعات اور خدمات تلاش کرنے کے لئے استعمال کرتے ہیں ، لیکن یہ سرچ انجن کیسے کام کرتے ہیں ؟ اس مضمون میں ہم سرچ انجن کے اندر کے کام کاج پر غور کریں گے ۔
Query 25,'جدید معاشرے میں جمہوریت کی کیا اہمیت ہے؟',"""What's the significance of democracy in modern society?""",' (پاکستان میں)\nپاکستان میں جمہوریت کی اہمیت کیا ہے؟ اس کے بارے میں کیا کہا جاتا ہے؟ اس کے بار�',"' What is the importance of democracy in the new society?\nThe new society is a society in which the
people are the masters of the state and the government is the servant of the people. In this
society, the people have the right to choose their leaders and make decisions about their own lives.
The government is responsible for providing'",نئی معاشرہ میں جمہوریت کی اہمیت کیا ہے ؟ نئی معاشرہ ایسی معاشرہ ہے جس میں عوام ریاست کا مالک ہیں اور حکومت عوام کا بندہ ہے ۔ اس معاشرہ میں عوام کو اپنے لیڈروں کا انتخاب کرنے کا حق ہے اور اپنی جانوں کا فیصلہ کرنے کا حق ہے ۔ حکومت ، اس معاشرہ میں سہولیات فراہم کرنے کے لئے ذمہ دار ہے ۔
Query 26,'الیکٹرک کاریں کیسے کام کرتی ہیں؟','How do electric cars work?',"' - How do electric circuits work?\nElectrical circuits are made up of electrical components that
are connected together. The components are connected in a way that allows electricity to flow
through the circuit. The components can be connected in series or in parallel. In a series circuit,
the electricity flows through each component in turn. In a'","' What is an electric circuit?\nAn electric circuit is a closed path through which electric current
can flow. The current is the flow of electrons. The electrons are negatively charged particles. The
electrons are attracted to the positive terminal of the battery. The electrons are pushed out of the
negative terminal of the battery. The electrons flow through'",ایک الیکٹرک سرکل کیا ہے ؟ ایک الیکٹرک سرکل وہ راستہ ہے جس میں الیکٹرونس کی آمد و رفت ہو سکتی ہے ۔ الیکٹرونس کی آمد و رفت کی وجہ الیکٹرونس منفی طریقے سے لگی ہوئی ذرات ہیں ۔ الیکٹرونس بیٹری کے مثبت ٹرمینل سے ہمکنار ہوتے ہیں ۔ الیکٹرونس بیٹری کے منفی ٹرمینل سے ہمکنار ہوتے ہیں ۔
Query 27,'آج کل سب سے عام پروگرامنگ زبانیں کون سی ہیں؟','What are the most common programming languages used today?',"' اور سب سے زیادہ استعمال ہونے والی زبان کون سی ہے؟\nآج کل سب سے زیادہ استعمال ہونے والی زبان کون سی
ہے؟\nآج کل سب س'","' (Updated)\nThe most popular programming languages in the world are:\n1. C\n2. C++\n3. Java\n4.
Python\n5. PHP\n6. JavaScript\n7. Ruby\n8. Perl\n9. Go\n10. Swift\n11. Kotlin\n12. Rust\n13.
Haskell'",(Updated ) دنیا میں سب سے زیادہ مقبول پروگرامنگ زبانیں یہ ہیں : ۔ سی ۔ سی ۔ این ۔ جیٹلی ۔ پٹیل ۔ پٹیل ۔ پٹیل ۔ پٹیل ۔ پٹیل ۔ پٹیل ۔ پٹیل ۔
Query 28,'کیا آپ مجھے مؤثر طریقے سے مطالعہ کرنے کے لئے کچھ نکات دے سکتے ہیں؟','Can you give me some tips for studying effectively?',' آپ کے لئے یہ ایک بہت ہی اہم بات ہے کہ آپ کے لئے یہ ایک بہت ہی اہم بات ہ�',"' I am a student of English literature and I am doing my research on the topic of ""The Effect of
Reading on the Mind"". I would be very grateful if you could give me some tips on how to read
effectively. I am a student of English literature and I am doing my research on the topic of ""The
Effect'",میں ایک انگریزی ادب کے طالب علم ہوں اور میں اس موضوع پر اپنی تحقیق کر رہا ہوں کہ پڑھنے کا اثر دماغ پر کیا اثر پڑتا ہے ۔
Query 29,'شمسی گرہن کے پیچھے سائنس کیا ہے؟',"""What's the science behind solar eclipses?""",' - 21 مارچ 2015\nشمسی گرہن کے پیچھے سائنس کیا ہے؟ - 21 مارچ 2015\nشمسی گرہن کے پیچھے سائنس کیا ہ�',"' What is behind the solar eclipse?\nThe solar eclipse is a rare astronomical event that occurs when
the moon passes between the Earth and the Sun, blocking the Sun’s light from reaching the Earth’s
surface. This phenomenon is caused by the alignment of the three celestial bodies in a specific
configuration, which results in a temporary blackout of'",شمسی کُلپّس کیا ہے ؟ شمسی کُلپّس ایک نادر astronomical تہوار ہے جب چاند اور سورج کے درمیان چلتا ہے ، جو سورج کی روشنی کو زمین کی سطح تک پہنچنے سے روکتا ہے ۔ یہ امر تین سیاروں کے ایک مخصوص تناسب میں جوڑنے سے پیدا ہوتا ہے ، جس کے نتیجے میں ایک عارضی blackout ہو جاتا ہے ۔
Query 30,'ورچوئل رئیلٹی دنیا کو کس طرح بدل رہی ہے؟','How is virtual reality changing the world?',"'\nورچوئل رئیلٹی دنیا کو کس طرح بدل رہی ہے؟\nورچوئل رئیلٹی دنیا کو کس طرح بدل رہی ہے؟\nورچوئل رئیلٹی
دنیا کو ک'","' (Video)\nThe world of reality TV is changing. The showbiz industry is changing. The world of
entertainment is changing. The world of fashion is changing. The world of music is changing. The
world of sports is changing. The world of politics is changing. The world of business is changing.
The world of education'",( ویڈیو ) ریئلٹی ٹی وی کی دنیا بدلتی جا رہی ہے ۔ ہاکی صنعت بدلتی جا رہی ہے ۔ تفریح کی دنیا بدلتی جا رہی ہے ۔ فیشن کی دنیا بدلتی جا رہی ہے ۔ کھیل کی دنیا بدلتی جا رہی ہے ۔ سیاست کی دنیا بدلتی جا رہی ہے ۔ تجارت کی دنیا بدلتی جا رہی ہے ۔ تعلیم کی دنیا بدلتی جا رہی ہے
